ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA
2021-09-23,14061938.71999643,422685.4080645479,14376847.362892378,80242.85697404148,-113948.68866611956,0.0,0.0,38.60999999999999,750.73694
2021-09-24,13881121.919997834,408634.1287281804,14384061.80409812,-170787.03321380072,572969.0234919718,0.0,0.0,63.27166600000001,630.61187
2021-09-25,13998245.279997446,380423.07095704926,14391276.245303862,-495443.86902898527,680827.71685253,0.0,0.0,34.55,754.88805
2021-09-26,14364924.159996767,337458.1298919426,14398490.686509604,-771509.3673834363,712841.3877899351,0.0,0.0,46.132000000000005,920.90996
2021-09-27,12988177.279998232,279472.7047132653,14405705.12771535,-872161.3562426991,-523123.74282554985,0.0,0.0,40.31931000000001,207.17376999999993
2021-09-28,12476112.63999818,206550.47306663587,14412919.568921093,-748080.134306973,-688841.1791699043,0.0,0.0,41.719166,0.0
2021-09-29,11981671.519998426,119139.3449153822,14420134.010126833,-470660.1790925538,-640724.5174741988,0.0,0.0,24.75,0.0
2021-09-30,13550363.519997321,18055.94521789935,14427348.451332577,-197477.04528407168,-113948.6886646688,0.0,0.0,45.6185,0.0
2021-10-01,13191541.439998697,-95519.7673819601,14434562.89253832,-76186.86875223751,572969.0234926348,0.0,0.0,45.4,0.0
2021-10-02,13329364.799998347,-220059.86484135815,14441777.333744064,-151464.5115898891,680827.7168531399,0.0,0.0,39.400000000000006,0.0
2021-10-03,14557171.039998367,-353713.63379190915,14448991.774949804,-340770.70173882006,712841.3877922624,0.0,0.0,37.2,0.0
2021-10-04,12543048.159998512,-494342.13384952105,14456206.216155548,-495045.4843250747,-523123.74282603705,0.0,0.0,39.199999999999996,0.0
2021-10-05,11674443.03999873,-639561.410171419,14463420.657361291,-498290.747522692,-688841.1791701908,0.0,0.0,38.199999999999996,0.0
2021-10-06,12542658.079998737,-786793.3818991694,14470635.098567037,-334475.9275332205,-640724.5174748991,0.0,0.0,40.6,0.0
2021-10-07,13156467.359997917,-933323.1934449356,14477849.539772777,-79906.13825165217,-113948.68866596514,0.0,0.0,39.2,0.0
2021-10-08,13552288.15999825,-1076361.6117346685,14485063.98097852,162420.02465349654,572969.0234899378,0.0,0.0,38.0,0.0
2021-10-09,13036477.279999046,-1213110.885751682,14492278.422184262,330657.17223152623,680827.7168523624,0.0,0.0,40.4,0.0
2021-10-10,13402158.879998501,-1340832.360362145,14499492.863390004,426509.3638154308,712841.3877917519,0.0,0.0,39.400000000000006,0.0
2021-10-11,12742610.879998554,-1456914.058508359,14506707.304595748,487343.4573782781,-523123.7428232037,-21514.10357607277,0.0,36.4,0.0
2021-10-12,11832929.59999892,-1558936.4172973058,14513921.745801492,541694.6207182045,-688841.1791704771,0.0,0.0,38.2,0.0
2021-10-13,11766759.519999355,-1644734.385686254,14521136.187007232,586362.943472595,-640724.5174729435,0.0,0.0,33.2,0.0
2021-10-14,12683061.119998634,-1712454.1643687985,14528350.628212975,596940.5543484378,-113948.68866666163,0.0,0.0,37.400000000000006,0.0
2021-10-15,13339812.319998832,-1760602.9906281969,14535565.06941872,554405.0907763923,572969.0234917478,0.0,0.0,39.4,0.0
2021-10-16,12953592.639999075,-1788090.53942402,14542779.51062446,462931.99756177474,680827.7168529722,0.0,0.0,37.2,0.0
2021-10-17,14257265.759998273,-1794260.7225651166,14549993.951830205,348612.4909099172,712841.3877911385,0.0,0.0,36.2,0.0
2021-10-18,12550007.03999922,-1778912.91498526,14557208.393035946,246169.95795569336,-523123.7428236909,0.0,0.0,38.199999999999996,0.0
2021-10-19,13007004.159998734,-1742311.9142526467,14564422.834241688,184695.5869052006,-688841.179169445,0.0,0.0,36.199999999999996,0.0
2021-10-20,13830757.43999724,-1685186.238989249,14571637.275447432,175891.8408830662,-640724.5174736438,0.0,0.0,36.0,0.0
2021-10-21,15710880.479994947,-1608714.685611851,14578851.716653176,203667.26765663145,-113948.68866658444,0.0,0.0,37.2,0.0
2021-10-22,15948770.399996167,-1514501.3819875056,14586066.15785892,219802.5394931292,572969.0234912636,0.0,0.0,37.400000000000006,0.0
2021-10-23,15502066.239995927,-1404539.8923061518,14593280.59906466,157668.45271923058,680827.7168528882,0.0,0.0,31.000000000000004,0.0
2021-10-24,16754778.719995847,-1281167.2307301871,14600495.040270405,-30661.05828809434,712841.3877907308,0.0,0.0,38.20000000000001,0.0
2021-10-25,14717236.319996934,-1147008.9235644285,14607709.481476149,-330487.1334276229,-523123.7428246866,0.0,0.0,35.99999999999999,0.0
2021-10-26,14075183.039997814,-1004916.512661198,14614923.922681889,-648372.4283760234,-688841.1791707503,0.0,0.0,32.2,0.0
2021-10-27,12892545.119998304,-857899.1091459373,14622138.36388763,-849499.4550007703,-640724.5174743439,0.0,0.0,35.800000000000004,0.0
2021-10-28,14263742.559996635,-709050.7799960737,14629352.805093374,-836582.5071207891,-113948.68866650722,0.0,0.0,34.599999999999994,0.0
2021-10-29,14162568.319997834,-561475.6752123073,14636567.246299118,-619758.8639564307,572969.0234919265,0.0,0.0,30.4,0.0
2021-10-30,14558021.119997537,-418212.8765541493,14643781.68750486,-322781.0045123967,680827.7168523965,0.0,0.0,33.0,0.0
2021-10-31,13916144.479997523,-282162.967450327,14650996.1287106,-111907.43701685744,712841.3877901176,0.0,0.0,28.399999999999995,0.0
2021-11-01,11795680.639998738,-156018.28701403431,14658210.569916343,-91783.92664950465,-523123.7428246652,0.0,0.0,40.6,5.207999999999999
2021-11-02,12320349.279998453,-42198.739587557415,14665425.011122089,-240776.5374431091,-688841.1791700177,0.0,0.0,38.4,5.74
2021-11-03,15206886.079997564,57205.112745528175,14672639.45232783,-431415.8247025234,-640724.5174737164,0.0,0.0,38.4,5.264
2021-11-04,16366781.599996317,140480.14010744367,14679853.893533574,-519189.3245872649,-113948.68866857728,0.0,0.0,39.400000000000006,6.9159999999999995
2021-11-05,16658116.159997035,206328.61921083415,14687068.334739318,-434057.3463524905,572969.0234914422,0.0,0.0,41.599999999999994,5.151999999999999
2021-11-06,16930303.679996423,253895.06802287223,14694282.775945062,-211787.7316890056,680827.7168523126,0.0,0.0,44.0,8.175999999999998
2021-11-07,18125000.959996115,282781.2203015105,14701497.217150802,48167.17311276036,712841.3877895043,0.0,0.0,40.2,10.92
2021-11-08,15698511.99999762,293048.74475704983,14708711.658356544,257045.8368972455,-523123.74282566085,-116450.53665692807,0.0,39.4,5.544
2021-11-09,16249220.3199974,285209.65125710814,14715926.09956229,385581.4909357524,-688841.179170304,0.0,0.0,44.99999999999999,4.872
2021-11-10,15087315.519997753,260204.6671305436,14723140.54076803,458872.7731668979,-640724.5174748806,0.0,0.0,35.4,3.892
2021-11-11,16851706.23999617,219370.2007440348,14730354.981973773,514765.0391478196,-113948.68866712652,0.0,0.0,38.199999999999996,3.836
2021-11-12,17104330.879996736,164394.82765258948,14737569.423179517,566568.4759911719,572969.0234932523,0.0,0.0,40.400000000000006,3.164
2021-11-13,17232994.7199965,97266.52776353472,14744783.86438526,597527.6928642087,680827.7168529223,0.0,0.0,42.400000000000006,5.5440000000000005
2021-11-14,17908896.639996335,20212.161688403183,14751998.305591002,582669.0103235925,712841.387792037,0.0,0.0,37.2,11.172
2021-11-15,15823205.119997842,-64369.10658406339,14759212.746796744,513539.8809698584,-523123.7428228275,0.0,0.0,39.599999999999994,5.488
2021-11-16,15956421.119997574,-153976.56184622343,14766427.188002488,406479.0284128571,-688841.1791705905,0.0,0.0,42.800000000000004,5.5440000000000005
2021-11-17,14939710.719998214,-246080.8662572257,14773641.62920823,293810.05358325,-640724.517474253,0.0,0.0,40.400000000000006,10.416
2021-11-18,16211765.27999625,-338197.1022523718,14780856.070413971,209043.8252690218,-113948.68866842284,0.0,0.0,34.199999999999996,7.112
2021-11-19,17363557.439996276,-427955.8617639485,14788070.511619717,173957.85289301202,572969.0234927682,0.0,0.0,36.199999999999996,9.491999999999999
2021-11-20,17466343.519996453,-513170.3661061749,14795284.952825457,187509.7361173577,680827.7168528388,0.0,0.0,12.0,8.876000000000001
2021-11-21,17320795.839996215,-591897.7101972471,14802499.3940312,217256.0279733385,712841.3877914237,0.0,0.0,40.6,23.491999999999997
2021-11-22,17759915.519997105,-662492.4882715528,14809713.835236944,202509.827277529,-523123.7428238232,3168148.7126075816,0.0,41.0,20.131999999999998
2021-11-23,19181609.91999598,-723651.2714375523,14816928.276442684,80242.85697374285,-688841.1791708769,0.0,0.0,38.800000000000004,24.555999999999997
2021-11-24,18755440.159996025,-774446.6645301695,14824142.717648428,-170787.03321423876,-640724.5174749532,0.0,0.0,36.0,22.316
2021-11-25,5767233.439999893,-814349.9636539575,14831357.158854172,-495443.8690286958,-113948.6886669721,0.0,0.0,31.999999999999996,4.928
2021-11-26,9603453.119999697,-843241.7583869242,14838571.600059912,-771509.3673833965,572969.0234912182,0.0,0.0,36.199999999999996,3.164
2021-11-27,11188333.439999042,-861410.1648788219,14845786.041265655,-872161.3562429022,680827.7168527548,0.0,0.0,38.00000000000001,4.956
2021-11-28,13502586.079998208,-869536.7284127383,14853000.4824714,-748080.1343069029,712841.3877909132,0.0,0.0,36.2,10.36
2021-11-29,13806657.119998274,-868670.3864941094,14860214.923677145,-470660.1790922381,-523123.7428238018,0.0,0.0,30.599999999999998,10.472000000000001
2021-11-30,14170598.079997925,-860190.226269116,14867429.364882885,-197477.04528405317,-688841.1791701438,0.0,0.0,31.199999999999996,9.1
2021-12-01,14256702.719998037,-845758.093296714,14874643.806088628,-76186.86875221337,-640724.5174747898,0.0,0.0,39.400000000000006,11.62
2021-12-02,15283566.239996757,-827262.4032602392,14881858.247294372,-151464.51158987675,-113948.68866552132,0.0,0.0,36.4,10.752
2021-12-03,15627837.599996734,-806754.7656460698,14889072.688500116,-340770.7017385181,572969.0234918813,0.0,0.0,38.4,13.271999999999998
2021-12-04,16530184.639996938,-786381.2413637872,14896287.129705856,-495045.4843247614,680827.716852671,0.0,0.0,43.599999999999994,10.052
