ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER,REDEMPTION_COST_MY_MAGAZINE,TRADE_COST_TRADE_TPR_DISPLAY,TRADE_COST_TRADE_TPR_FEATURE,TRADE_COST_TRADE_TPR_FEATURE_DISPLAY,TRADE_COST_TRADE_TPRONLY
2021-12-10,188535713.57001728,-27607651.78431717,195610408.7489946,-6703237.000112229,26582825.88583865,0.0,0.0,3123.9933330000003,313.068,7026.3,409.375,3250.05,16615.489999999998,10590.5,7735.340000000001
2021-12-11,207993116.0700076,-29994482.52279539,195616658.8398668,-2817214.173161102,36253865.72218964,0.0,0.0,3090.2400000000002,306.76800000000003,8045.179999999999,376.6333333333333,3550.9899999999993,18367.299999999996,12057.839999999998,8551.36
2021-12-12,233728209.04999232,-32377205.20509602,195622908.9307389,-296276.3162329264,24965511.665551405,0.0,0.0,3119.19,315.168,7225.3499999999985,401.44166666666666,4079.29,19896.32,13208.629999999997,9296.15
2021-12-13,188646756.5300065,-34716446.61879503,195629159.02161103,967846.4964393098,-19733346.41696507,0.0,0.0,3145.14282,313.88,6028.799999999999,348.75,3405.9400000000005,15868.839999999998,10468.460000000001,8052.720000000001
2021-12-14,171671061.16000864,-36973594.575521775,195635409.1124832,3635938.6688033063,-25645170.266784232,0.0,0.0,3011.492105,314.048,6420.089999999999,318.125,2934.5299999999997,15041.060000000001,9734.989999999998,7500.89
2021-12-15,181223601.3399987,-39111828.64033877,195641659.2033553,9767115.853571633,-23077974.783461656,0.0,0.0,3054.0288599999994,312.144,4891.2,331.25,609.63,20358.82,12517.130000000001,3424.0200000000004
2021-12-16,183250197.0999861,-41097088.71482942,195647909.2942275,17819122.40335112,-19345711.80630496,0.0,0.0,3061.66,315.67199999999997,5012.0999999999985,326.25,600.24,20422.82,12398.089999999998,3525.19
2021-12-17,194134981.55997425,-42898951.9415051,195654159.38509965,23205919.38872766,26582825.885854702,0.0,0.0,3510.648332999999,314.328,6620.52,351.25,736.8399999999999,21661.72,13222.42,3990.8600000000006
2021-12-18,211180321.68997988,-44491391.33829196,195660409.4759718,22306604.93946979,36253865.72219675,0.0,0.0,3436.278566,311.66800000000006,4629.99,335.625,850.86,23225.42,14610.169999999998,4588.799999999999
2021-12-19,221320928.52995563,-45853393.31925322,195666659.566844,16151884.599194244,24965511.665542997,0.0,0.0,3557.122417,322.39200000000005,5310.749999999999,316.875,844.53,23684.5,15545.76,4640.28
2021-12-20,202190985.0500056,-46969415.69604309,195672909.6577161,9956646.74477726,-19733346.41693064,37911710.333115,0.0,3506.1419779999997,321.832,4983.599999999999,294.375,787.9799999999999,22292.41,14148.15,4320.87
2021-12-21,201958501.56999,-47829672.74778839,195679159.74858823,8515534.413090322,-25645170.26679604,0.0,0.0,3524.113217999999,319.03200000000004,4891.349999999999,301.25,827.42,21912.67,13488.62,4210.390000000001
2021-12-22,213675898.54000282,-48430239.34314336,195685409.8394604,11612116.70580693,-23077974.783449247,0.0,0.0,6644.300735000001,315.28000000000003,4415.4,241.875,16.930000000000003,264.96000000000004,46.080000000000005,993.03
2021-12-23,245873265.83001027,-48772971.73264881,195691659.9303325,13914057.003971651,-19345711.806390967,0.0,0.0,17581.458496,313.628,3531.3,263.125,40.47,4008.8599999999997,323.72,1917.16
2021-12-24,184114967.3499939,-48865248.33178377,195697910.02120468,9795060.592887294,26582825.885902666,0.0,0.0,8005.366075999999,289.79999999999995,2753.1,150.625,29.580000000000002,3038.21,242.45,1361.4
2021-12-25,1934164.820000037,-48719539.41190219,195704160.11207685,-1170662.2385193491,36253865.7221918,0.0,0.0,1635.897736,60.059999999999995,1.2000000000000002,3.75,0.0,46.8,2.37,17.76
2021-12-26,118685238.32001732,-48352819.938641794,195710410.202949,-13166710.060204891,24965511.66550776,0.0,0.0,10959.781415000001,578.564,1704.1800000000003,151.25,12.13,2228.7300000000005,172.14000000000004,1007.3500000000003
2021-12-27,123364348.87001577,-47785844.6839804,195716660.29382116,-18739665.12399848,-19733346.41698081,14432530.751337092,0.0,14594.896954000002,37.211999999999996,2976.0899999999997,162.5,14.97,2393.59,172.87000000000003,974.6700000000002
