ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER,REDEMPTION_COST_MY_MAGAZINE
2021-10-03,18662063.840002514,30164.464270207805,11342097.46937696,577473.2984195784,2657445.077366107,0.0,0.0,0.0,0.0,1773.0,572.0
2021-10-04,13914400.160000918,116208.22173065926,11337952.980551638,-94888.6138352499,-833302.8633928563,0.0,0.0,0.0,0.0,142.0,505.0
2021-10-05,12214376.320000546,181248.3996381912,11333808.491726317,-482375.0721990292,-1761398.54122129,0.0,0.0,0.0,0.0,68.0,412.0
2021-10-06,12211288.8000003,222036.49491806744,11329664.002900992,-454658.6959608088,-1873894.5315138053,0.0,0.0,0.0,0.0,84.0,542.0
2021-10-07,12567682.080001015,235751.11701127444,11325519.514075672,-282317.3316218321,-1410079.265505136,0.0,0.0,0.0,0.0,76.0,391.0
2021-10-08,14191452.640001537,220091.4970140222,11321375.02525035,-313748.0188185678,951556.2990859183,0.0,0.0,0.0,0.0,30.0,448.0
2021-10-09,15572799.520001601,173363.22410433542,11317230.536425028,-612837.4295505005,2269673.825172449,0.0,0.0,0.0,0.0,96.0,488.0
2021-10-10,17401531.360002466,94553.37116223224,11313086.047599703,-920247.3882998048,2657445.077364399,0.0,0.0,0.0,0.0,0.0,475.0
2021-10-11,14255473.600001438,-16607.6556333304,11308941.558774384,-958366.259858015,-833302.8633840157,1694842.9014786785,0.0,0.0,0.0,0.0,404.0
2021-10-12,12091486.400000732,-159599.94749031277,11304797.06994906,-747694.71178593,-1761398.5412223109,0.0,0.0,0.0,0.0,0.0,408.0
2021-10-13,8067884.800000755,-333085.6643126888,11300652.58112374,-594431.1767363099,-1873894.531509368,0.0,0.0,0.0,0.0,0.0,273.0
2021-10-14,8413587.68000093,-534899.9884022396,11296508.092298418,-751730.4459093616,-1410079.2655063423,0.0,0.0,0.0,0.0,0.0,336.0
2021-10-15,9225027.680001203,-762062.6192648357,11292363.603473095,-1103990.1957169622,951556.2990903663,0.0,0.0,0.0,0.0,0.0,316.0
2021-10-16,10323250.080001352,-1010810.4337404132,11288219.114647776,-1219807.951792105,2269673.825173957,0.0,0.0,0.0,0.0,0.0,375.0
2021-10-17,12074396.480001928,-1276651.3641290937,11284074.625822457,-757310.8262146194,2657445.0773633616,0.0,0.0,0.0,0.0,0.0,328.0
2021-10-18,9809558.880001247,-1554438.9546168002,11279930.136997132,160871.00144223557,-833302.8633854106,0.0,0.0,0.0,0.0,0.0,302.0
2021-10-19,8152476.960000821,-1838466.460068385,11275785.64817181,986456.923206821,-1761398.541218471,0.0,0.0,0.0,0.0,0.0,313.0
2021-10-20,8319508.480000745,-2122578.7688068864,11271641.159346487,1198360.0998244197,-1873894.5315116704,0.0,0.0,0.0,0.0,0.0,240.0
2021-10-21,9301453.92000089,-2400299.8798220297,11267496.670521166,764355.4461761205,-1410079.265506247,0.0,0.0,0.0,0.0,0.0,234.0
2021-10-22,10179505.600000706,-2664973.1619570507,11263352.181695843,175866.75139709233,951556.2990904854,0.0,0.0,0.0,0.0,0.0,301.0
2021-10-23,10949162.880000684,-2909911.183896632,11259207.692870522,8280.121224635875,2269673.825174635,0.0,0.0,0.0,0.0,0.0,335.0
2021-10-24,13066955.04000067,-3128551.543599936,11255063.2040452,405044.8944824496,2657445.0773609825,0.0,0.0,0.0,0.0,0.0,331.0
2021-10-25,10155316.960000977,-3314614.856387679,11250918.715219878,962189.99194968,-833302.8633888427,0.0,0.0,0.0,0.0,0.0,231.0
2021-10-26,8721761.920000596,-3462260.8922557263,11246774.226394556,1119694.866684354,-1761398.5412224927,0.0,0.0,0.0,0.0,0.0,318.0
2021-10-27,7966268.960000704,-3566238.792027777,11242629.737569232,693100.7932590953,-1873894.5315139736,0.0,0.0,0.0,0.0,0.0,228.0
2021-10-28,8217940.480000973,-3622027.3429949954,11238485.248743912,49073.82569530322,-1410079.2655061523,0.0,0.0,0.0,0.0,0.0,244.0
2021-10-29,9546976.160001097,-3625961.458491676,11234340.75991859,-235459.5385410729,951556.2990927694,0.0,0.0,0.0,0.0,0.0,247.0
2021-10-30,11484028.800001405,-3575341.280069858,11230196.271093268,92232.52345546382,2269673.825170538,0.0,0.0,0.0,0.0,0.0,271.0
2021-10-31,12093175.520001775,-3468520.7000823603,11226051.782267945,730631.4689384958,2657445.0773599446,0.0,0.0,0.0,0.0,24.0,307.0
2021-11-01,8719347.840000931,-3304972.5776683856,11221907.293442626,1103450.108300741,-833302.8633881996,0.0,0.0,0.0,0.0,28.0,206.0
2021-11-02,8009508.960000878,-3085328.480858412,11217762.804617302,876586.3433895032,-1761398.5412205125,0.0,0.0,0.0,0.0,62.0,225.0
2021-11-03,8765288.960000595,-2811391.417467629,11213618.31579198,230950.4814660747,-1873894.5315129072,0.0,0.0,0.0,0.0,287.0,297.0
