ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2021-12-03,15221587.679990375,3394166.577381374,16414198.70006166,-239821.3169413484,640882.5183467569,0.0,69.80000000000001,340.5
2021-12-04,17985661.439986277,3002734.844440324,16392530.930817597,-538677.3175519566,2979877.362752875,0.0,72.0,324.0
2021-12-05,19197717.27998522,2654681.4341132115,16370863.16157354,-858252.104253667,3239885.3072338607,0.0,67.0,398.4
2021-12-06,14634406.87999081,2355078.5768064107,16349195.39232948,-1108250.7490384227,-2035828.8488103647,0.0,67.6,33.0
2021-12-07,14572693.279991237,2107225.3207883267,16327527.62308542,-1200364.024269725,-1754756.9643658884,0.0,59.400000000000006,15.0
2021-12-08,15043725.919991618,1912593.686678373,16305859.853841355,-1100880.4871425554,-1413705.4130566271,0.0,66.8,24.0
2021-12-09,16248977.43998993,1770826.928331223,16284192.084597295,-865992.5893811663,-1656353.96210697,0.0,66.2,12.0
2021-12-10,18149943.999987315,1679789.5774333067,16262524.31535324,-615509.5299648492,640882.5183502004,0.0,68.0,21.0
2021-12-11,19505571.359985527,1635667.5034508237,16240856.546109175,-453459.1760022871,2979877.362748295,0.0,64.60000000000001,21.0
2021-12-12,19546099.199986365,1633114.8288268773,16219188.776865115,-399550.0001252214,3239885.307246,0.0,71.99999999999999,0.0
2021-12-13,15777433.279990816,1665443.2404757382,16197521.007621054,-393357.2467082688,-2035828.8488141,0.0,71.0,0.0
2021-12-14,14589076.639992192,1724848.069138198,16175853.238376996,-367551.1884469585,-1754756.9643622497,0.0,62.20000000000001,0.0
2021-12-15,16423460.9599901,1802664.500593096,16154185.46913294,-317885.916710997,-1413705.4130553768,0.0,67.8,0.0
2021-12-16,17798673.27998897,1889646.4651851405,16132517.699888876,-296185.76674645883,-1656353.962108044,0.0,69.80000000000001,0.0
2021-12-17,20528442.079984203,1976260.1470950192,16110849.930644812,-326851.3883105128,640882.5183496929,0.0,70.0,0.0
2021-12-18,22717920.639981642,2052983.6788778205,16089182.161400754,-329997.40115872613,2979877.362746913,0.0,67.8,0.0
2021-12-19,22374727.51998224,2110604.449910466,16067514.392156696,-142499.58949584377,3239885.307243207,0.0,67.80000000000001,0.0
2021-12-20,21391689.119983133,2140505.562829414,16045846.622912634,355210.91292495443,-2035828.8488137936,4848440.457830213,68.99999999999999,0.0
2021-12-21,25502506.719977286,2134933.316015365,16024178.853668576,1103000.1605332168,-1754756.9643623892,0.0,66.80000000000001,0.0
2021-12-22,27969254.879974835,2087238.1623827997,16002511.084424512,1839456.375569024,-1413705.4130541263,0.0,270.912276,0.0
2021-12-23,33218215.519967616,1992082.3781267805,15980843.315180454,2236121.8765506893,-1656353.9621092835,0.0,757.6420860000001,0.0
2021-12-24,21269711.83998884,1845608.647020747,15959175.545936396,2101413.796112928,640882.518357088,0.0,196.88,0.0
2021-12-25,96956.96000000641,1645564.8980137492,15937507.776692333,1505251.49061049,2979877.362750072,0.0,47.160000000000004,0.0
2021-12-26,4701612.160000296,1391381.9938586988,15915840.007448267,732772.5695725133,3239885.3072405523,0.0,60.86,0.0
2021-12-27,6043744.9600001825,1084202.2199868562,15894172.238204213,105472.04139212304,-2035828.848817528,-8742327.692566881,0.0,0.0
2021-12-28,9805485.119997531,726857.9273636498,15872504.468960157,-197734.1272922381,-1754756.9643627184,0.0,0.0,0.0
2021-12-29,11263773.439996079,323801.10045838385,15850836.699716091,-202135.17923974807,-1413705.413052876,0.0,0.0,0.0
2021-12-30,16011385.599990826,-119013.98842659863,15829168.930472028,-65896.69124574985,-1656353.9621055075,0.0,0.0,0.0
2021-12-31,20463007.99998701,-594291.5538112553,15807501.16122797,43725.80720776168,640882.5183565803,0.0,0.0,0.0
2022-01-01,8354453.760000668,-1093593.7966327972,15785833.391983911,31509.688475889885,2979877.362750959,0.0,92.807512,0.0
2022-01-02,9723608.800000103,-1607573.3435724513,15764165.62273985,-119821.2501775874,3239885.307237897,0.0,98.82875599999998,0.0
2022-01-03,7522814.240000533,-2126231.928283554,15742497.853495792,-381900.4749925992,-2035828.8488072688,0.0,100.29849199999998,0.0
2022-01-04,8817692.159999114,-2639197.8976675854,15720830.084251728,-701074.2524573482,-1754756.9643666365,0.0,94.065408,0.0
2022-01-05,9467363.039998222,-3136014.6208897745,15699162.31500767,-998073.9213273256,-1413705.413056414,0.0,94.19756799999999,0.0
