ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_CBA,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2022-01-28,23264828.4000015,-1629714.2277329147,28708916.4983625,-2534996.2674502884,2840660.531145807,0.0,0.0,0.0,350.49805,0.0,0.0
2022-01-29,28008564.840002313,-1596954.0163382164,28714550.88878209,-791648.4664688924,5481025.431236433,0.0,0.0,0.0,348.488108,0.0,0.0
2022-01-30,31264792.640001867,-1575917.9905274732,28720185.279201683,242938.3651867833,5513520.605431078,0.0,0.0,0.0,368.1259000000001,0.0,0.0
2022-01-31,24724260.280001897,-1559700.373049467,28725819.669621278,130014.9952844916,-2481118.2531258645,0.0,0.0,0.0,371.048632,0.0,0.0
2022-02-01,26484707.960001655,-1541417.0396166043,28731454.060040865,-314015.96594097384,-3810760.51235125,0.0,0.0,0.0,359.786268,0.0,266.9
2022-02-02,24083180.520001486,-1514431.0866964415,28737088.450460464,-186.9637718011794,-3956593.1062591327,0.0,0.0,0.0,359.669688,0.0,981.5000000000001
2022-02-03,20511784.720001917,-1472568.0692780693,28742722.84088005,1268259.2385573178,-3586734.696050955,0.0,0.0,0.0,385.0593179999999,0.0,1391.0
2022-02-04,23946655.880001932,-1410314.7668610292,28748357.231299646,2575132.320289853,2840660.53112166,0.0,0.0,0.0,365.95967200000007,0.0,2624.75
2022-02-05,32101296.600002572,-1322995.875870342,28753991.621719237,2786549.912751164,5481025.431236686,0.0,0.0,0.0,386.173168,0.0,3524.8999999999996
2022-02-06,36059329.9600025,-1206923.720911104,28759626.012138832,1656529.8803819614,5513520.605426262,0.0,0.0,0.0,381.620182,0.0,3276.7000000000003
2022-02-07,27069063.160001732,-1059516.904650902,28765260.402558416,68088.15224957204,-2481118.253128104,0.0,0.0,0.0,380.39646999999997,645.288,2119.15
2022-02-08,26073217.560001962,-879384.7514591748,28770894.79297801,-795668.1061445804,-3810760.512353478,0.0,0.0,0.0,371.431906,500.47200000000004,2633.5
2022-02-09,26280114.440002255,-666375.4155951786,28776529.1833976,-519953.2340562648,-3956593.106248452,0.0,0.0,0.0,390.36746200000005,639.6600000000001,2305.95
